pillar|title|slug|collection|buyerStage|targetPersona|targetKeyword|format|valueAsset|requiredSources|internalLinks|status
Post-sex bleeding and pain practical tools|Spotting After Sex Log|spotting-after-sex-log|lead-magnets|tofu|spotting-tracker;doctor-prep;privacy-conscious-user|spotting after sex|symptom log|Log for light spotting after sex, timing, color, amount, pain, discharge, pregnancy or STI concern if relevant, cycle day, repeat pattern, and visit questions without normalizing recurring bleeding|ACOG abnormal uterine bleeding; CDC cervicitis; existing spotting guides; no diagnosis claim|/free/abnormal-bleeding-log;/resources/symptom-guides/spotting-vs-period;/resources/symptom-guides/bleeding-after-sex-no-pain;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Post-sex bleeding and pain practical tools|Brown Discharge After Sex Notes|brown-discharge-after-sex-notes|lead-magnets|tofu|discharge-tracker;abnormal-bleeding;doctor-prep|brown discharge after sex|notes worksheet|Notes sheet for brown discharge after sex, timing, amount, odor, itching, pain, cycle day, period timing, contraception context if shared, and care questions without diagnosing cervical irritation or infection|ACOG abnormal uterine bleeding; ACOG vaginal infection; CDC vaginal discharge; no self-diagnosis chart|/resources/symptom-guides/brown-discharge-before-period;/resources/symptom-guides/period-discharge-guide;/free/vaginal-discharge-odor-checklist;/free/abnormal-bleeding-log;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Post-sex bleeding and pain practical tools|Bleeding After Sex Before Period Tracker|bleeding-after-sex-before-period-tracker|lead-magnets|tofu|abnormal-bleeding;cycle-change-tracker;doctor-prep|bleeding after sex before period|tracker worksheet|Tracker for bleeding after sex near expected period timing, spotting amount, color, cramps, discharge, pregnancy concern if relevant, contraception context if shared, and care questions without assuming it is just a period|ACOG abnormal uterine bleeding; CDC cervicitis; existing spotting-before-period guide; no reassurance guarantee|/free/abnormal-bleeding-log;/resources/symptom-guides/spotting-before-period;/resources/symptom-guides/bleeding-after-sex-no-pain;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
Post-sex bleeding and pain practical tools|Bleeding After Sex on Birth Control Notes|bleeding-after-sex-on-birth-control-notes|lead-magnets|mofu|birth-control-user;abnormal-bleeding;doctor-prep|bleeding after sex on birth control|visit notes|Visit notes for bleeding after sex while using birth control, method, start or switch date, missed or late doses if relevant, spotting pattern, pain, discharge, pregnancy concern, and clinician questions without method advice|ACOG abnormal uterine bleeding; CDC contraception selected practice recommendations if birth-control bleeding is mentioned; CDC cervicitis; no dosing or protection-timing advice|/free/abnormal-bleeding-log;/free/birth-control-tracking-kit;/resources/life-stage-guides/birth-control-period-changes;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Post-sex bleeding and pain practical tools|Pain During Sex Symptom Notes|pain-during-sex-symptom-notes|lead-magnets|tofu|sex-pain;doctor-prep;privacy-conscious-user|pain during sex|symptom notes|No-diagnosis notes for pain during sex, entry vs deep pain, cycle timing, bleeding, discharge, dryness, pelvic pain, bowel or bladder overlap, and visit questions without treatment advice|Mayo Clinic painful intercourse; Office on Women's Health endometriosis; ACOG endometriosis; no diagnosis or sex advice|/resources/condition-guides/vaginal-pain-during-period;/free/period-pain-cramp-diary;/free/abnormal-bleeding-log;/free/endometriosis-tracking-kit;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Post-sex bleeding and pain practical tools|Pain After Sex Pelvic Pain Log|pain-after-sex-pelvic-pain-log|lead-magnets|tofu|sex-pain;pelvic-pain;doctor-prep|pain after sex|pelvic pain log|Log for pain after sex, lower-belly or pelvic pain location, timing, duration, bleeding, discharge, fever or pregnancy concern if relevant, period timing, and care questions without diagnosing endometriosis, infection, cysts, or pelvic floor issues|Mayo Clinic painful intercourse; Office on Women's Health endometriosis; ACOG painful periods if pelvic pain context is used; no diagnosis claim|/free/period-pain-cramp-diary;/resources/condition-guides/vaginal-pain-during-period;/free/ovarian-cyst-tracking-kit;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Post-sex bleeding and pain practical tools|Sex Pain and Bleeding Data Privacy Checklist|sex-pain-and-bleeding-data-privacy-checklist|privacy-in-practice|mofu|sex-pain;abnormal-bleeding;privacy-conscious-user|sex pain tracker privacy|privacy checklist|Checklist for deciding where to store sex pain, bleeding after sex, discharge, pregnancy or STI questions, partner context, screenshots, exports, portal notes, accounts, backups, and shared-device access|FTC Health Breach Notification Rule; HHS HIPAA consumer app context; ACOG abnormal uterine bleeding; no legal guarantees|/resources/guides/period-tracker-data-minimization-guide;/free/abnormal-bleeding-log;/free/period-pain-cramp-diary;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-31
Period flu and sick-before-period practical tools|Period Flu Symptom Tracker|period-flu-symptom-tracker|lead-magnets|tofu|premenstrual-symptoms;cycle-symptom-tracker;doctor-prep|period flu|tracking worksheet|No-diagnosis tracker for flu-like symptoms near a period, body aches, chills, nausea, headache, fatigue, diarrhea or constipation, temperature notes, cycle day, period timing, and care questions without calling it flu or giving treatment advice|ACOG premenstrual syndrome; Mayo Clinic PMS; Cleveland Clinic period flu; no diagnosis or treatment advice|/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/protect-your-symptom-and-condition-data;/resources/privacy-in-practice/lock-down-period-data-on-your-phone|consolidated-2026-07-06
Period flu and sick-before-period practical tools|Flu-Like Symptoms Before Period Log|flu-like-symptoms-before-period-log|lead-magnets|tofu|premenstrual-symptoms;cycle-symptom-tracker;doctor-prep|flu like symptoms before period|symptom log|Log for sick feelings before a period, start date, days before bleeding, body aches, chills, sore throat if present, cough or congestion if present, nausea, fatigue, headache, and clinician questions without deciding PMS versus infection|ACOG premenstrual syndrome; Mayo Clinic PMS; Cleveland Clinic influenza if respiratory symptoms are mentioned; no diagnosis claim|/free/premenstrual-symptom-tracker;/resources/symptom-guides/luteal-phase-symptoms;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Period flu and sick-before-period practical tools|Body Aches Before Period Log|body-aches-before-period-log|lead-magnets|tofu|premenstrual-symptoms;pain-tracker;doctor-prep|body aches before period|tracking log|Tracker for body aches before bleeding, location, severity, fatigue, headache, cramps, fever or illness concern, medicine notes to discuss, cycle day, and care questions without self-diagnosis or pain-treatment advice|Mayo Clinic PMS; ACOG premenstrual syndrome; Mayo Clinic menstrual cramps visit questions if used; no dosing or treatment advice|/free/premenstrual-symptom-tracker;/resources/symptom-guides/luteal-phase-symptoms;/resources/symptom-guides/cramps-but-no-period;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Period flu and sick-before-period practical tools|Chills Before Period Tracker|chills-before-period-tracker|lead-magnets|tofu|premenstrual-symptoms;cycle-symptom-tracker;doctor-prep|chills before period|tracking worksheet|Tracker for chills before a period, temperature notes, sweating, body aches, headache, nausea, diarrhea, period timing, illness exposure if shared, and visit questions without reassuring fever or diagnosing PMS|ACOG premenstrual syndrome; Mayo Clinic PMS; Cleveland Clinic period flu; no fever reassurance claim|/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/protect-your-symptom-and-condition-data;/resources/privacy-in-practice/lock-down-period-data-on-your-phone|consolidated-2026-07-06
Period flu and sick-before-period practical tools|Nausea Before Period Tracker|nausea-before-period-tracker|lead-magnets|tofu|premenstrual-symptoms;nausea-tracker;doctor-prep|nausea before period|tracking worksheet|Tracker for nausea before a period, vomiting if present, appetite, cramps, headache, dizziness, diarrhea or constipation, pregnancy concern if relevant, cycle day, and care questions without deciding the cause|Mayo Clinic PMS; Mayo Clinic menstrual cramps; ACOG premenstrual syndrome; no pregnancy or treatment advice|/free/premenstrual-symptom-tracker;/resources/symptom-guides/luteal-phase-symptoms;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Period flu and sick-before-period practical tools|Dizziness During Period Notes|dizziness-during-period-notes|lead-magnets|mofu|dizziness-tracker;heavy-bleeding;doctor-prep|dizziness during period|visit notes|Visit-prep notes for dizziness during a period, bleeding amount, clots if shared, cramps, nausea, headache, faintness, hydration context, anemia questions, and prompt-care questions without diagnosing anemia or giving treatment advice|Mayo Clinic menstrual cramps; Mayo Clinic heavy menstrual bleeding red flags; ACOG abnormal uterine bleeding; no diagnosis or treatment advice|/free/premenstrual-symptom-tracker;/free/heavy-period-clot-tracker;/free/abnormal-bleeding-log;/resources/condition-guides/anemia-heavy-periods;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Period flu and sick-before-period practical tools|Fever and Period Symptom Notes|fever-and-period-symptom-notes|lead-magnets|mofu|premenstrual-symptoms;doctor-prep;urgent-symptom-notes|period fever|visit notes|Notes for fever or feverish feelings near a period, measured temperature if known, chills, aches, respiratory symptoms, pelvic pain, heavy bleeding, pregnancy concern if relevant, and care questions without saying fever is normal|Cleveland Clinic influenza symptoms; Mayo Clinic PMS; Mayo Clinic menstrual cramps visit questions; no fever reassurance claim|/free/premenstrual-symptom-tracker;/app-guides/floriva-for-gynecologist-prep;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Period flu and sick-before-period practical tools|Period Flu Data Privacy Checklist|period-flu-data-privacy-checklist|privacy-in-practice|mofu|privacy-conscious-user;premenstrual-symptoms;doctor-prep|period flu tracker privacy|privacy checklist|Checklist for deciding where to store period flu notes, body aches, chills, nausea, fever or illness context, pregnancy questions, medicine notes, screenshots, exports, portal notes, accounts, backups, and shared-device access|FTC Health Breach Notification Rule; HHS HIPAA consumer app context; ACOG premenstrual syndrome; no legal guarantees|/resources/guides/period-tracker-data-minimization-guide;/free/premenstrual-symptom-tracker;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-31
PMS body skin appetite and anger practical tools|Breast Tenderness Before Period Tracker|breast-tenderness-before-period-tracker|lead-magnets|tofu|premenstrual-symptoms;breast-pain-tracker;doctor-prep|breast tenderness before period|tracking worksheet|No-diagnosis tracker for breast tenderness before a period, side, location, swelling or heaviness, nipple changes if present, cycle day, period timing, repeat pattern, and clinician questions without diagnosing pregnancy or breast disease|Mayo Clinic breast pain; Mayo Clinic PMS; Office on Women's Health PMS; no diagnosis or pregnancy advice|/free/period-pain-cramp-diary;/free/premenstrual-symptom-tracker;/resources/symptom-guides/luteal-phase-symptoms;/resources/life-stage-guides/signs-your-period-is-coming;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
PMS body skin appetite and anger practical tools|Breast Pain After Period Notes|breast-pain-after-period-notes|lead-magnets|mofu|breast-pain-tracker;cycle-symptom-tracker;doctor-prep|breast pain after period|visit notes|Visit-prep notes for breast pain after period timing, one-sided or both-sided pain, lump or skin-change questions, nipple discharge questions, cycle dates, medicines to discuss, and what changed over time without reassurance or diagnosis|Mayo Clinic breast pain; Mayo Clinic breast pain appointment guidance; Cleveland Clinic breast pain if used; no reassurance guarantee|/free/premenstrual-symptom-tracker;/free/abnormal-bleeding-log;/free/heavy-period-clot-tracker;/app-guides/floriva-for-gynecologist-prep;/resources/guides/period-tracker-data-minimization-guide|consolidated-2026-07-06
PMS body skin appetite and anger practical tools|Period Cravings Tracker|period-cravings-tracker|lead-magnets|tofu|premenstrual-symptoms;food-cravings-tracker;cycle-symptom-tracker|period cravings|tracking worksheet|Tracker for cravings near a period, appetite changes, skipped meals, nausea, sleep, stress, mood, cycle day, period timing, and care questions without diet rules or weight-loss advice|Office on Women's Health PMS; Mayo Clinic PMS; Cleveland Clinic PMS; no diet or supplement protocol|/free/premenstrual-symptom-tracker;/resources/symptom-guides/luteal-phase-symptoms;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
PMS body skin appetite and anger practical tools|Hungry Before Period Log|hungry-before-period-log|lead-magnets|tofu|premenstrual-symptoms;appetite-tracker;cycle-symptom-tracker|hungry before period|symptom log|Simple log for hunger before a period, appetite level, cravings, meal timing, nausea, sleep, stress, mood, cycle day, period timing, and care questions without telling users what or how much to eat|Office on Women's Health PMS; Mayo Clinic PMS; Cleveland Clinic PMS; no diet advice|/free/premenstrual-symptom-tracker;/resources/life-stage-guides/signs-your-period-is-coming;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
PMS body skin appetite and anger practical tools|Food Cravings Before Period Notes|food-cravings-before-period-notes|lead-magnets|tofu|premenstrual-symptoms;food-cravings-tracker;doctor-prep|food cravings before period|notes worksheet|Notes sheet for food cravings before a period, craving type, appetite change, sleep, stress, nausea, mood, cycle day, period timing, and care questions without moralizing food or giving a diet plan|Office on Women's Health PMS; Mayo Clinic PMS; Cleveland Clinic PMS; no diet plan or supplement claims|/free/premenstrual-symptom-tracker;/resources/wellness-guides/stress-cycle-length-connection;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
PMS body skin appetite and anger practical tools|Acne Before Period Skin Log|acne-before-period-skin-log|lead-magnets|tofu|premenstrual-symptoms;skin-tracker;doctor-prep|acne before period|skin log|Cycle-linked skin log for acne before a period, location, lesion type, pain, products used, cycle day, period timing, PCOS context if relevant, and clinician questions without treatment instructions|American Academy of Dermatology acne guidance; Mayo Clinic PMS; existing hormonal acne guide; no acne treatment protocol|/resources/symptom-guides/hormonal-acne-cycle-mapping;/free/pcos-tracking-kit;/resources/condition-guides/pcos-period-irregularity-tracking;/resources/symptom-guides/luteal-phase-symptoms;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
PMS body skin appetite and anger practical tools|Anger Before Period Notes|anger-before-period-notes|lead-magnets|mofu|premenstrual-symptoms;mood-tracker;doctor-prep|anger before period|visit notes|No-shame notes for anger or irritability before a period, timing, sleep, stress, pain, cravings, relationship or work impact, safety questions, and care questions without diagnosing PMS, PMDD, anxiety, or depression|ACOG premenstrual syndrome; Office on Women's Health PMS; Mayo Clinic PMS; no diagnosis or crisis-plan substitution|/resources/condition-guides/pmdd-treatment-options;/free/pmdd-tracking-kit;/resources/symptom-guides/luteal-phase-symptoms;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
PMS body skin appetite and anger practical tools|PMS Body Data Privacy Checklist|pms-body-data-privacy-checklist|privacy-in-practice|mofu|privacy-conscious-user;premenstrual-symptoms;doctor-prep|pms symptom tracker privacy|privacy checklist|Checklist for deciding where to store breast pain, cravings, hunger, acne, anger, mood, pregnancy questions, screenshots, exports, portal notes, accounts, backups, and shared-device access|FTC Health Breach Notification Rule; HHS HIPAA consumer app context; Office on Women's Health PMS; no legal guarantees|/resources/guides/period-tracker-data-minimization-guide;/free/premenstrual-symptom-tracker;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-31
Vulvar symptom practical tools|Vulvar Itching Symptom Log|vulvar-itching-symptom-log|lead-magnets|tofu|vulvar-symptom-tracker;doctor-prep;privacy-conscious-user|vulvar itching|symptom log|No-diagnosis log for vulvar itching, timing, location, swelling, rash, discharge, pee pain, product exposure, cycle day, and care questions without diagnosing yeast, BV, STI, or dermatitis|ACOG vulvar disorders; ACOG vaginitis; CDC candidiasis guidelines; no diagnosis or treatment advice|/free/premenstrual-symptom-tracker;/free/vulvar-symptom-log;/free/vaginal-discharge-odor-checklist;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Vulvar symptom practical tools|Vaginal Itching Before Period Tracker|vaginal-itching-before-period-tracker|lead-magnets|tofu|vulvar-symptom-tracker;cycle-change-tracker;doctor-prep|vaginal itching before period|tracking worksheet|Cycle-timing tracker for itching before a period, discharge, odor, burning, swelling, products, period timing, repeat pattern, and clinician questions without saying hormones or yeast are the cause|ACOG vaginitis; CDC candidiasis guidelines; ACOG vulvar disorders; no period-causation or self-diagnosis claim|/free/vulvar-symptom-log;/free/vaginal-discharge-odor-checklist;/resources/symptom-guides/discharge-before-period;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Vulvar symptom practical tools|Vulvar Burning Symptom Notes|vulvar-burning-symptom-notes|lead-magnets|tofu|vulvar-symptom-tracker;doctor-prep;privacy-conscious-user|vulvar burning|symptom notes|Notes sheet for vulvar burning, skin contact pain, pee pain, discharge, odor, swelling, rash, sex pain if shared, product exposure, cycle timing, and care questions without treatment advice|ACOG vulvar disorders; ACOG vaginitis; CDC candidiasis guidelines; no diagnosis or treatment protocol|/free/vulvar-symptom-log;/free/vaginal-discharge-odor-checklist;/resources/condition-guides/vaginal-pain-during-period;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Vulvar symptom practical tools|Labia Swelling Visit Notes|labia-swelling-visit-notes|lead-magnets|tofu|vulvar-symptom-tracker;doctor-prep;privacy-conscious-user|labia swelling|visit notes|Visit-prep notes for labia swelling, one-sided or both-sided swelling, itching, burning, pain, rash, discharge, injury or product context if shared, cycle timing, and prompt-care questions without diagnosis|ACOG vulvar disorders; ACOG vaginitis; Cleveland Clinic vulvitis; no diagnosis or reassurance guarantee|/free/vulvar-symptom-log;/free/vaginal-discharge-odor-checklist;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
Vulvar symptom practical tools|Vulvar Irritation Product Exposure Log|vulvar-irritation-product-exposure-log|lead-magnets|tofu|vulvar-symptom-tracker;privacy-conscious-user;doctor-prep|vulvar irritation|exposure log|Product and timing log for vulvar irritation, pads, liners, wipes, soap, lubricant, detergent, medicine already used, itching, burning, rash, and care questions without telling users what product to stop or use|ACOG vulvar disorders; MyHealth Alberta vulvar dermatitis; Cleveland Clinic vulvitis; no product or treatment protocol|/free/vulvar-symptom-log;/resources/guides/period-tracker-data-minimization-guide;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Vulvar symptom practical tools|Vulvar Rash Skin Change Notes|vulvar-rash-skin-change-notes|lead-magnets|tofu|vulvar-symptom-tracker;doctor-prep;privacy-conscious-user|vulvar rash|skin change notes|No-diagnosis notes for vulvar rash, redness, skin changes, itching, burning, swelling, sores or cracks if present, products, cycle timing, and visit questions without image diagnosis or treatment advice|ACOG vulvar disorders; Cleveland Clinic vulvitis; ACOG vulvovaginal health; no image diagnosis or treatment advice|/free/vulvar-symptom-log;/resources/privacy-in-practice/protect-your-symptom-and-condition-data;/resources/privacy-in-practice/lock-down-period-data-on-your-phone|consolidated-2026-07-06
Vulvar symptom practical tools|Vaginal Dryness Before Period Notes|vaginal-dryness-before-period-notes|lead-magnets|tofu|cycle-change-tracker;vulvar-symptom-tracker;doctor-prep|vaginal dryness before period|notes worksheet|Cycle-timing notes for dryness before a period, irritation, burning, sex pain if shared, products, medicines to discuss, repeat pattern, and care questions without hormone diagnosis or product advice|ACOG vulvovaginal health; ACOG vulvar disorders; Mayo Clinic Health System vulvar health; no hormone diagnosis or lubricant advice|/free/vulvar-symptom-log;/free/premenstrual-symptom-tracker;/free/period-pain-cramp-diary;/resources/life-stage-guides/perimenopause-hormone-changes-tracking;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Vulvar symptom practical tools|Vulvar Symptom Data Privacy Checklist|vulvar-symptom-data-privacy-checklist|privacy-in-practice|mofu|privacy-conscious-user;vulvar-symptom-tracker;doctor-prep|vulvar symptom tracker privacy|privacy checklist|Checklist for deciding where to store vulvar itching, burning, rash, swelling, dryness, sex pain, pregnancy or STI questions, product notes, photos, exports, portal messages, accounts, backups, and shared-device access|FTC Health Breach Notification Rule; HHS HIPAA consumer app context; ACOG vulvar disorders; no legal guarantees|/resources/guides/period-tracker-data-minimization-guide;/free/vulvar-symptom-log;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-31
Period product irritation practical tools|Pad Rash Symptom Log|pad-rash-symptom-log|lead-magnets|tofu|vulvar-symptom-tracker;period-product-notes;doctor-prep|pad rash|symptom log|No-diagnosis log for pad rash timing, skin location, itching, burning, redness, swelling, product timing, medicine already used, photos if chosen, and care questions without rash diagnosis or treatment advice|ACOG vulvar disorders; Cleveland Clinic vulvar dermatitis; DataForSEO pad rash 4400 US searches; no treatment protocol|/free/period-leak-and-product-kit;/free/vulvar-symptom-log;/resources/privacy-in-practice/protect-your-symptom-and-condition-data;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
Period product irritation practical tools|Pad Chafing Period Notes|pad-chafing-period-notes|lead-magnets|tofu|period-product-notes;vulvar-symptom-tracker;doctor-prep|pad chafing|notes worksheet|Notes sheet for chafing during a period, friction location, walking or exercise context, pad or liner timing, rash if present, bleeding day, and visit questions without product recommendations|ACOG vulvar disorders; Cleveland Clinic vulvar dermatitis; DataForSEO pad rash cluster; no product advice|/free/period-leak-and-product-kit;/free/vulvar-symptom-log;/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Period product irritation practical tools|Period Product Irritation Log|period-product-irritation-log|lead-magnets|tofu|period-product-notes;privacy-conscious-user;doctor-prep|period product irritation|exposure log|Product timing log for pads, liners, tampons, cups, discs, wipes, underwear, detergent, itching, burning, rash, pain, discharge if present, and care questions without deciding which product caused symptoms|ACOG vulvar disorders; Cleveland Clinic vulvar dermatitis; MedlinePlus vulvovaginitis; no product-causation claim|/free/period-leak-and-product-kit;/free/period-pain-cramp-diary;/free/vulvar-symptom-log;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Period product irritation practical tools|Tampon Pain Visit Notes|tampon-pain-visit-notes|lead-magnets|tofu|period-product-notes;doctor-prep;privacy-conscious-user|tampon pain|visit notes|Visit-prep notes for tampon pain, insertion or removal timing if shared, burning, dryness, discharge, odor, fever or rash prompt-care questions, product timing, and clinician questions without insertion instructions or diagnosis|FDA tampon safety; MedlinePlus toxic shock syndrome; ACOG vulvar disorders; no tampon-use protocol|/free/period-leak-and-product-kit;/free/vulvar-symptom-log;/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/protect-your-symptom-and-condition-data;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
Period product irritation practical tools|Menstrual Cup Pain Notes|menstrual-cup-pain-notes|lead-magnets|mofu|period-product-notes;doctor-prep;privacy-conscious-user|menstrual cup pain|notes worksheet|No-diagnosis notes for menstrual cup pain, pressure, cramping, removal pain if shared, bleeding day, dryness or irritation, urinary pressure if present, and care questions without cup insertion or fitting advice|ACOG vulvar disorders; Cleveland Clinic vulvar dermatitis; DataForSEO menstrual cup pain 140 US searches; no insertion or fitting instructions|/free/period-leak-and-product-kit;/free/period-pain-cramp-diary;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Period product irritation practical tools|Menstrual Cup Leak Log|menstrual-cup-leak-log|lead-magnets|tofu|period-product-notes;cycle-change-tracker;doctor-prep|menstrual cup leaks|leak log|Leak log for menstrual cup or disc use, bleeding day, flow context, activity, pain or pressure if present, product timing, backup product notes, and care questions without fitting, insertion, or brand advice|DataForSEO menstrual cup leaks trend interest; ACOG vulvar disorders; no product advice or fit protocol|/free/period-pain-cramp-diary;/free/period-leak-and-product-kit;/free/heavy-period-clot-tracker;/resources/privacy-in-practice/protect-your-symptom-and-condition-data;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
Period product irritation practical tools|Period Product Change Visit Summary|period-product-change-visit-summary|lead-magnets|tofu|period-product-notes;doctor-prep;privacy-conscious-user|period product change symptoms|visit summary|One-page visit summary for symptoms after changing pads, liners, tampons, cups, discs, wipes, underwear, or detergent, with timing, skin symptoms, pain, discharge, fever/rash questions, and what to ask without product blame|ACOG vulvar disorders; Cleveland Clinic vulvar dermatitis; FDA tampon safety; no diagnosis or product-causation claim|/free/period-leak-and-product-kit;/free/period-pain-cramp-diary;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Period product irritation practical tools|Period Product Symptom Data Privacy Checklist|period-product-symptom-data-privacy-checklist|privacy-in-practice|mofu|privacy-conscious-user;period-product-notes;doctor-prep|period product symptom data privacy|privacy checklist|Checklist for deciding where to store period product notes, pad rash photos, tampon pain notes, cup leak logs, product names, medicine notes, portal messages, screenshots, exports, accounts, backups, and shared-device access|FTC Health Breach Notification Rule; HHS HIPAA consumer app context; ACOG vulvar disorders; no legal guarantees|/resources/guides/period-tracker-data-minimization-guide;/free/period-leak-and-product-kit;/free/period-pain-cramp-diary;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-31
Sleep and period fatigue practical tools|Insomnia Before Period Sleep Log|insomnia-before-period-sleep-log|lead-magnets|tofu|cycle-change-tracker;sleep-tracker;doctor-prep|insomnia before period|sleep log|Cycle-linked sleep log for bedtime, wake time, night waking, temperature, cramps, mood, daytime tiredness, and questions without sleep treatment or supplement advice|ACOG PMS sleep problems; NHLBI sleep diary; DataForSEO insomnia before period low difficulty; no treatment protocol|/resources/symptom-guides/period-sleep-disruption;/resources/symptom-guides/luteal-phase-symptoms;/free/period-sleep-log;/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Sleep and period fatigue practical tools|Can't Sleep Before Period Notes|cant-sleep-before-period-notes|lead-magnets|tofu|cycle-change-tracker;sleep-tracker;privacy-conscious-user|can't sleep before period|notes worksheet|Plain-language notes sheet for people who cannot sleep before a period, with cycle day, worry, cramps, heat, bathroom trips, product discomfort, and next-day impact without diagnosing PMS or pregnancy|ACOG PMS sleep problems; Office on Women's Health PMDD trouble sleeping if referenced; DataForSEO 260 US monthly searches; no pregnancy diagnosis|/free/period-sleep-log;/resources/symptom-guides/period-sleep-disruption;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
Sleep and period fatigue practical tools|Fatigue Before Period Tracker|fatigue-before-period-tracker|lead-magnets|tofu|cycle-change-tracker;energy-tracker;doctor-prep|fatigue before period|tracker worksheet|Daily tracker for tiredness before a period, sleep quality, bleeding timing, food notes if chosen, headache, cramps, mood, work or school impact, and care questions without iron, diet, or supplement advice|ACOG PMS fatigue/sleep problems; Mayo Clinic PMS fatigue and sleep problems; DataForSEO period fatigue 5400 US searches; no treatment protocol|/resources/symptom-guides/cycle-fatigue-tracking;/resources/symptom-guides/luteal-phase-symptoms;/free/premenstrual-symptom-tracker;/free/period-sleep-log;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
Sleep and period fatigue practical tools|Tired During Period Energy Log|tired-during-period-energy-log|lead-magnets|tofu|cycle-change-tracker;energy-tracker;doctor-prep|tired during period|energy log|Period-day energy log for tiredness during bleeding, flow context, sleep quality, cramps, dizziness if present, missed work or school, and visit questions without anemia diagnosis or diet advice|ACOG PMS fatigue; Mayo Clinic PMS fatigue; DataForSEO tired during period difficulty 1; no diagnosis or diet protocol|/resources/symptom-guides/cycle-fatigue-tracking;/free/premenstrual-symptom-tracker;/free/heavy-period-clot-tracker;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
Sleep and period fatigue practical tools|Night Sweats Before Period Notes|night-sweats-before-period-notes|lead-magnets|tofu|cycle-change-tracker;perimenopause-tracker;sleep-tracker|night sweats before period|notes worksheet|Notes sheet for night sweats or waking hot before a period, with cycle timing, bleeding changes, sleep impact, hot flashes if present, medicines to discuss, and care questions without hormone diagnosis|ACOG PMS sleep problems; Office on Women's Health menopause/perimenopause symptoms if used; existing hot flash log; no hormone diagnosis|/free/period-sleep-log;/resources/life-stage-guides/perimenopause-period-changes;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
